KeywordID,CategoryID
218,12
219,12
218,12
220,12
218,12
219,12
218,12
218,12
218,12
218,12
218,12
221,12
218,12
218,12
218,12
218,12
222,12
223,12
218,12
218,12
218,12
218,12
218,12
218,12
224,12
218,12
218,12
218,12
218,12
218,12
225,12
226,12
218,12
227,12
218,12
228,12
218,12
218,12
229,12
230,12
231,12
218,12
218,12
218,12
226,12
218,12
218,12
218,12
232,12
218,12
233,12
218,12
234,12
226,12
235,13
236,12
237,12
218,12
218,12
238,12
218,12
233,12
233,12
218,12
239,12
218,12
240,12
218,12
218,12
241,12
218,12
218,12
230,12
242,12
218,12
218,12
218,12
167,12
219,12
243,12
244,12
218,12
218,12
227,12
245,12
245,12
246,12
247,12
248,12
218,12
218,12
218,12
249,12
218,12
218,12
218,12
218,12
218,12
218,12
218,12
232,12
218,12
218,12
167,12
218,12
250,12
251,12
218,12
232,12
219,12
218,12
252,12
230,12
218,12
232,12
218,12
253,12
218,12
167,12
254,12
218,12
218,12
218,12
219,12
255,12
218,12
218,12
218,12
218,12
256,12
218,12
257,12
218,12
218,12
218,12
218,12
218,12
218,12
218,12
245,12
258,12
259,12
226,12
218,12
260,12
218,12
261,12
260,12
218,12
218,12
218,12
218,12
262,12
218,12
219,12
218,12
218,12
263,12
218,12
260,12
218,12
218,12
260,12
218,12
218,12
218,12
218,12
218,12
218,12
218,12
219,12
218,12
167,12
218,12
218,12
218,12
226,12
260,12
264,12
218,12
218,12
218,12
265,12
227,12
218,12
218,12
266,12
227,12
218,12
218,12
167,12
240,12
227,12
227,12
218,12
218,12
167,12
218,12
227,12
246,12
218,12
218,12
218,12
218,12
267,12
268,12
218,12
218,12
218,12
218,12
218,12
218,12
218,12
269,12
218,12
218,12
256,12
218,12
218,12
270,12
218,12
218,12
167,12
271,12
218,12
272,12
273,12
274,12
275,12
218,12
218,12
276,12
269,12
218,12
277,12
278,12
218,12
279,12
218,12
218,12
218,12
218,12
218,12
218,12
218,12
167,12
218,12
219,12
218,12
226,12
218,12
218,12
218,12
218,12
218,12
218,12
280,12
281,12
218,12
218,12
218,12
218,12
282,12
283,12
284,12
218,12
218,12
285,12
218,12
218,12
218,12
220,12
218,12
286,12
226,12
218,12
218,12
218,12
282,12
167,12
236,12
218,12
218,12
287,12
170,12
218,12
218,12
218,12
237,12
167,12
218,12
218,12
218,12
280,12
237,12
167,12
226,12
218,12
167,12
288,12
218,12
167,12
289,12
290,12
218,12
218,12
167,12
167,12
218,12
218,12
218,12
291,12
218,12
292,12
218,12
293,12
218,12
219,12
218,12
294,12
170,12
167,12
218,12
218,12
